recruitment,grazing,competition,ID,min_coral_cover
0.05,0.04,0.1,44,0.01
0.05,0.13,0,247,0.46
0.05,0.14,0,272,0.21000000000000002
0.05,0.14,0.05,274,0.6100000000000001
0.05,0.15,0,296,0.16000000000000003
0.05,0.15,0.05,299,0.31000000000000005
0.05,0.15,0.1,300,0.91
0.05,0.16,0,320,0.11
0.05,0.16,0.05,323,0.16000000000000003
0.05,0.16,0.1,326,0.36000000000000004
0.05,0.17,0,348,0.060000000000000005
0.05,0.17,0.05,352,0.11
0.05,0.17,0.1,355,0.21000000000000002
0.05,0.17,0.15,357,0.46
0.05,0.18,0,376,0.01
0.05,0.18,0.05,380,0.060000000000000005
0.05,0.18,0.1,382,0.16000000000000003
0.05,0.18,0.15,383,0.26
0.05,0.18,0.2,385,0.51
0.05,0.19,0,405,0.01
0.05,0.19,0.05,408,0.060000000000000005
0.05,0.19,0.1,410,0.11
0.05,0.19,0.15,412,0.16000000000000003
0.05,0.19,0.2,413,0.31000000000000005
0.05,0.19,0.25,414,0.66
0.05,0.2,0,432,0.01
0.05,0.2,0.05,435,0.01
0.05,0.2,0.1,438,0.060000000000000005
0.05,0.2,0.15,440,0.11
0.05,0.2,0.2,441,0.21000000000000002
0.05,0.2,0.25,442,0.36000000000000004
0.05,0.2,0.3,443,0.76
0.05,0.21,0,460,0.01
0.05,0.21,0.05,463,0.01
0.05,0.21,0.1,465,0.060000000000000005
0.05,0.21,0.15,467,0.11
0.05,0.21,0.2,469,0.16000000000000003
0.05,0.21,0.25,471,0.26
0.05,0.21,0.3,472,0.41000000000000003
0.05,0.21,0.35,473,0.9600000000000001
0.05,0.22,0,491,0.01
0.05,0.22,0.05,493,0.01
0.05,0.22,0.1,495,0.01
0.05,0.22,0.15,497,0.060000000000000005
0.05,0.22,0.2,501,0.11
0.05,0.22,0.25,502,0.16000000000000003
0.05,0.22,0.3,503,0.31000000000000005
0.05,0.22,0.35,504,0.51
0.05,0.23,0,519,0.01
0.05,0.23,0.05,521,0.01
0.05,0.23,0.1,523,0.01
0.05,0.23,0.15,525,0.060000000000000005
0.05,0.23,0.2,527,0.060000000000000005
0.05,0.23,0.25,529,0.11
0.05,0.23,0.3,531,0.21000000000000002
0.05,0.23,0.35,532,0.31000000000000005
0.05,0.23,0.4,533,0.56
0.05,0.24,0,552,0.01
0.05,0.24,0.05,553,0.01
0.05,0.24,0.1,555,0.01
0.05,0.24,0.15,557,0.01
0.05,0.24,0.2,559,0.060000000000000005
0.05,0.24,0.25,561,0.11
0.05,0.24,0.3,562,0.16000000000000003
0.05,0.24,0.35,563,0.26
0.05,0.24,0.4,564,0.36000000000000004
0.05,0.24,0.45,565,0.66
0.05,0.25,0,582,0.01
0.05,0.25,0.05,583,0.01
0.05,0.25,0.1,584,0.01
0.05,0.25,0.15,586,0.01
0.05,0.25,0.2,588,0.01
0.05,0.25,0.25,591,0.060000000000000005
0.05,0.25,0.3,592,0.11
0.05,0.25,0.35,593,0.16000000000000003
0.05,0.25,0.4,594,0.26
0.05,0.25,0.45,596,0.41000000000000003
0.05,0.25,0.5,597,0.76
0.05,0.26,0,611,0.01
0.05,0.26,0.05,612,0.01
0.05,0.26,0.1,613,0.01
0.05,0.26,0.15,615,0.01
0.05,0.26,0.2,617,0.01
0.05,0.26,0.25,619,0.060000000000000005
0.05,0.26,0.3,620,0.060000000000000005
0.05,0.26,0.35,621,0.11
0.05,0.26,0.4,622,0.21000000000000002
0.05,0.26,0.45,624,0.31000000000000005
0.05,0.26,0.5,625,0.46
0.05,0.26,0.55,626,0.8600000000000001
0.05,0.27,0,636,0.01
0.05,0.27,0.05,637,0.01
0.05,0.27,0.1,638,0.01
0.05,0.27,0.15,639,0.01
0.05,0.27,0.2,641,0.01
0.05,0.27,0.25,643,0.01
0.05,0.27,0.3,644,0.060000000000000005
0.05,0.27,0.35,646,0.11
0.05,0.27,0.4,648,0.16000000000000003
0.05,0.27,0.45,650,0.21000000000000002
0.05,0.27,0.5,651,0.36000000000000004
0.05,0.27,0.55,652,0.56
0.05,0.27,0.6,654,0.9600000000000001
0.05,0.28,0,664,0.01
0.05,0.28,0.05,665,0.01
0.05,0.28,0.1,666,0.01
0.05,0.28,0.15,667,0.01
0.05,0.28,0.2,669,0.01
0.05,0.28,0.25,671,0.01
0.05,0.28,0.3,674,0.01
0.05,0.28,0.35,676,0.060000000000000005
0.05,0.28,0.4,678,0.11
0.05,0.28,0.45,679,0.16000000000000003
0.05,0.28,0.5,681,0.26
0.05,0.28,0.55,682,0.41000000000000003
0.05,0.28,0.6,683,0.6100000000000001
0.05,0.29,0,695,0.01
0.05,0.29,0.05,696,0.01
0.05,0.29,0.1,697,0.01
0.05,0.29,0.15,698,0.01
0.05,0.29,0.2,700,0.01
0.05,0.29,0.25,702,0.01
0.05,0.29,0.3,704,0.01
0.05,0.29,0.35,706,0.060000000000000005
0.05,0.29,0.4,707,0.060000000000000005
0.05,0.29,0.45,709,0.11
0.05,0.29,0.5,710,0.21000000000000002
0.05,0.29,0.55,711,0.26
0.05,0.29,0.6,712,0.41000000000000003
0.05,0.29,0.65,713,0.66
0.05,0.3,0,721,0.01
0.05,0.3,0.05,722,0.01
0.05,0.3,0.1,723,0.01
0.05,0.3,0.15,724,0.01
0.05,0.3,0.2,725,0.01
0.05,0.3,0.25,727,0.01
0.05,0.3,0.3,729,0.01
0.05,0.3,0.35,731,0.01
0.05,0.3,0.4,733,0.060000000000000005
0.05,0.3,0.45,734,0.11
0.05,0.3,0.5,736,0.16000000000000003
0.05,0.3,0.55,738,0.21000000000000002
0.05,0.3,0.6,739,0.31000000000000005
0.05,0.3,0.65,740,0.46
0.05,0.3,0.7,742,0.7100000000000001
0.05,0.31,0,750,0.01
0.05,0.31,0.05,751,0.01
0.05,0.31,0.1,752,0.01
0.05,0.31,0.15,753,0.01
0.05,0.31,0.2,754,0.01
0.05,0.31,0.25,756,0.01
0.05,0.31,0.3,758,0.01
0.05,0.31,0.35,759,0.01
0.05,0.31,0.4,760,0.01
0.05,0.31,0.45,762,0.060000000000000005
0.05,0.31,0.5,763,0.11
0.05,0.31,0.55,764,0.16000000000000003
0.05,0.31,0.6,765,0.26
0.05,0.31,0.65,766,0.36000000000000004
0.05,0.31,0.7,767,0.51
0.05,0.31,0.75,769,0.81
0.05,0.32,0,774,0.01
0.05,0.32,0.05,775,0.01
0.05,0.32,0.1,776,0.01
0.05,0.32,0.15,777,0.01
0.05,0.32,0.2,778,0.01
0.05,0.32,0.25,779,0.01
0.05,0.32,0.3,781,0.01
0.05,0.32,0.35,782,0.01
0.05,0.32,0.4,785,0.01
0.05,0.32,0.45,786,0.060000000000000005
0.05,0.32,0.5,788,0.060000000000000005
0.05,0.32,0.55,790,0.11
0.05,0.32,0.6,791,0.16000000000000003
0.05,0.32,0.65,792,0.26
0.05,0.32,0.7,794,0.41000000000000003
0.05,0.32,0.75,795,0.56
0.05,0.32,0.8,797,0.8600000000000001
0.05,0.33,0,801,0.01
0.05,0.33,0.05,802,0.01
0.05,0.33,0.1,803,0.01
0.05,0.33,0.15,804,0.01
0.05,0.33,0.2,805,0.01
0.05,0.33,0.25,806,0.01
0.05,0.33,0.3,808,0.01
0.05,0.33,0.35,809,0.01
0.05,0.33,0.4,810,0.01
0.05,0.33,0.45,811,0.01
0.05,0.33,0.5,813,0.060000000000000005
0.05,0.33,0.55,815,0.060000000000000005
0.05,0.33,0.6,816,0.11
0.05,0.33,0.65,817,0.21000000000000002
0.05,0.33,0.7,820,0.31000000000000005
0.05,0.33,0.75,821,0.41000000000000003
0.05,0.33,0.8,822,0.6100000000000001
0.05,0.33,0.85,823,0.9600000000000001
0.05,0.34,0,826,0.01
0.05,0.34,0.05,827,0.01
0.05,0.34,0.1,828,0.01
0.05,0.34,0.15,829,0.01
0.05,0.34,0.2,830,0.01
0.05,0.34,0.25,831,0.01
0.05,0.34,0.3,832,0.01
0.05,0.34,0.35,833,0.01
0.05,0.34,0.4,835,0.01
0.05,0.34,0.45,838,0.01
0.05,0.34,0.5,840,0.01
0.05,0.34,0.55,841,0.060000000000000005
0.05,0.34,0.6,842,0.11
0.05,0.34,0.65,843,0.16000000000000003
0.05,0.34,0.7,844,0.21000000000000002
0.05,0.34,0.75,846,0.31000000000000005
0.05,0.34,0.8,847,0.46
0.05,0.34,0.85,848,0.66
0.05,0.35,0,851,0.01
0.05,0.35,0.05,852,0.01
0.05,0.35,0.1,853,0.01
0.05,0.35,0.15,854,0.01
0.05,0.35,0.2,855,0.01
0.05,0.35,0.25,856,0.01
0.05,0.35,0.3,857,0.01
0.05,0.35,0.3,858,0.01
0.05,0.35,0.35,859,0.01
0.05,0.35,0.4,860,0.01
0.05,0.35,0.45,862,0.01
0.05,0.35,0.5,863,0.01
0.05,0.35,0.55,865,0.01
0.05,0.35,0.6,866,0.060000000000000005
0.05,0.35,0.65,869,0.11
0.05,0.35,0.7,871,0.16000000000000003
0.05,0.35,0.75,873,0.26
0.05,0.35,0.8,874,0.36000000000000004
0.05,0.35,0.85,875,0.51
0.05,0.35,0.9,876,0.7100000000000001
0.05,0.36,0,878,0.01
0.05,0.36,0.05,879,0.01
0.05,0.36,0.1,880,0.01
0.05,0.36,0.15,881,0.01
0.05,0.36,0.2,882,0.01
0.05,0.36,0.25,883,0.01
0.05,0.36,0.3,884,0.01
0.05,0.36,0.35,885,0.01
0.05,0.36,0.4,886,0.01
0.05,0.36,0.45,887,0.01
0.05,0.36,0.5,889,0.01
0.05,0.36,0.55,890,0.01
0.05,0.36,0.6,891,0.060000000000000005
0.05,0.36,0.65,892,0.060000000000000005
0.05,0.36,0.7,893,0.11
0.05,0.36,0.75,894,0.21000000000000002
0.05,0.36,0.8,895,0.26
0.05,0.36,0.85,897,0.41000000000000003
0.05,0.36,0.9,898,0.56
0.05,0.36,0.95,900,0.76
0.05,0.37,0,901,0.01
0.05,0.37,0.05,902,0.01
0.05,0.37,0.1,903,0.01
0.05,0.37,0.15,904,0.01
0.05,0.37,0.2,905,0.01
0.05,0.37,0.25,906,0.01
0.05,0.37,0.3,907,0.01
0.05,0.37,0.35,908,0.01
0.05,0.37,0.4,909,0.01
0.05,0.37,0.45,910,0.01
0.05,0.37,0.5,911,0.01
0.05,0.37,0.55,913,0.01
0.05,0.37,0.6,915,0.01
0.05,0.37,0.65,916,0.060000000000000005
0.05,0.37,0.7,919,0.11
0.05,0.37,0.75,920,0.16000000000000003
