g,a,z,macro,min_coral
0.39,0.4,0,low,0.060000000000000005
0.4,0.4,0,low,0.060000000000000005
0.41,0.4,0,low,0.060000000000000005
0.42,0.4,0,low,0.060000000000000005
0.43,0.4,0,low,0.060000000000000005
0.44,0.4,0,low,0.01
0.45,0.4,0,low,0.01
0.46,0.4,0,low,0.01
0.47,0.4,0,low,0.01
0.48,0.4,0,low,0.01
0.49,0.4,0,low,0.01
0.5,0.4,0,low,0.01
0.51,0.4,0,low,0.01
0.52,0.4,0,low,0.01
0.53,0.4,0,low,0.01
0.54,0.4,0,low,0.01
0.55,0.4,0,low,0.01
0.56,0.4,0,low,0.01
0.57,0.4,0,low,0.01
0.58,0.4,0,low,0.01
0.59,0.4,0,low,0.01
