g,a,z,macro,min_coral
0.59,0.4,0.95,low,0.01
0.6,0.4,0.95,low,0.01
0.61,0.4,0.95,low,0.01
0.62,0.4,0.95,low,0.01
0.63,0.4,0.95,low,0.01
0.64,0.4,0.95,low,0.01
0.65,0.4,0.95,low,0.01
0.66,0.4,0.95,low,0.01
0.67,0.4,0.95,low,0.01
0.68,0.4,0.95,low,0.01
0.69,0.4,0.95,low,0.01
0.7,0.4,0.95,low,0.01
0.71,0.4,0.95,low,0.01
0.72,0.4,0.95,low,0.01
0.73,0.4,0.95,low,0.01
0.74,0.4,0.95,low,0.01
0.75,0.4,0.95,low,0.01
0.76,0.4,0.95,low,0.01
0.77,0.4,0.95,low,0.01
0.78,0.4,0.95,low,0.01
0.79,0.4,0.95,low,0.01
0.8,0.4,0.95,low,0.01
0.81,0.4,0.95,low,0.01
0.82,0.4,0.95,low,0.01
0.83,0.4,0.95,low,0.01
0.84,0.4,0.95,low,0.01
0.85,0.4,0.95,low,0.01
0.86,0.4,0.95,low,0.01
0.87,0.4,0.95,low,0.01
0.88,0.4,0.95,low,0.01
0.89,0.4,0.95,low,0.01
0.9,0.4,0.95,low,0.01
0.91,0.4,0.95,low,0.01
0.92,0.4,0.95,low,0.01
0.93,0.4,0.95,low,0.01
0.94,0.4,0.95,low,0.01
0.95,0.4,0.95,low,0.01
0.96,0.4,0.95,low,0.01
0.97,0.4,0.95,low,0.01
0.98,0.4,0.95,low,0.01
0.99,0.4,0.95,low,0.01
0,0.45,0.95,low,NA
0.01,0.45,0.95,low,NA
0.02,0.45,0.95,low,NA
0.03,0.45,0.95,low,NA
0.04,0.45,0.95,low,NA
0.05,0.45,0.95,low,NA
0.06,0.45,0.95,low,NA
0.07,0.45,0.95,low,NA
0.08,0.45,0.95,low,NA
0.09,0.45,0.95,low,NA
0.1,0.45,0.95,low,NA
0.11,0.45,0.95,low,0.66
0.12,0.45,0.95,low,0.01
0.13,0.45,0.95,low,0.01
0.14,0.45,0.95,low,0.01
0.15,0.45,0.95,low,0.01
0.16,0.45,0.95,low,0.01
0.17,0.45,0.95,low,0.01
0.18,0.45,0.95,low,0.01
0.19,0.45,0.95,low,0.01
0.2,0.45,0.95,low,0.01
0.21,0.45,0.95,low,0.01
0.22,0.45,0.95,low,0.01
0.23,0.45,0.95,low,0.01
0.24,0.45,0.95,low,0.01
0.25,0.45,0.95,low,0.01
0.26,0.45,0.95,low,0.01
0.27,0.45,0.95,low,0.01
0.28,0.45,0.95,low,0.01
0.29,0.45,0.95,low,0.01
0.3,0.45,0.95,low,0.01
0.31,0.45,0.95,low,0.01
0.32,0.45,0.95,low,0.01
0.33,0.45,0.95,low,0.01
0.34,0.45,0.95,low,0.01
0.35,0.45,0.95,low,0.01
0.36,0.45,0.95,low,0.01
0.37,0.45,0.95,low,0.01
0.38,0.45,0.95,low,0.01
0.39,0.45,0.95,low,0.01
0.4,0.45,0.95,low,0.01
0.41,0.45,0.95,low,0.01
0.42,0.45,0.95,low,0.01
0.43,0.45,0.95,low,0.01
0.44,0.45,0.95,low,0.01
0.45,0.45,0.95,low,0.01
0.46,0.45,0.95,low,0.01
0.47,0.45,0.95,low,0.01
0.48,0.45,0.95,low,0.01
0.49,0.45,0.95,low,0.01
0.5,0.45,0.95,low,0.01
0.51,0.45,0.95,low,0.01
0.52,0.45,0.95,low,0.01
0.53,0.45,0.95,low,0.01
0.54,0.45,0.95,low,0.01
0.55,0.45,0.95,low,0.01
0.56,0.45,0.95,low,0.01
0.57,0.45,0.95,low,0.01
0.58,0.45,0.95,low,0.01
0.59,0.45,0.95,low,0.01
0.6,0.45,0.95,low,0.01
0.61,0.45,0.95,low,0.01
0.62,0.45,0.95,low,0.01
0.63,0.45,0.95,low,0.01
0.64,0.45,0.95,low,0.01
0.65,0.45,0.95,low,0.01
0.66,0.45,0.95,low,0.01
0.67,0.45,0.95,low,0.01
0.68,0.45,0.95,low,0.01
0.69,0.45,0.95,low,0.01
0.7,0.45,0.95,low,0.01
0.71,0.45,0.95,low,0.01
0.72,0.45,0.95,low,0.01
0.73,0.45,0.95,low,0.01
0.74,0.45,0.95,low,0.01
0.75,0.45,0.95,low,0.01
0.76,0.45,0.95,low,0.01
0.77,0.45,0.95,low,0.01
0.78,0.45,0.95,low,0.01
0.79,0.45,0.95,low,0.01
0.8,0.45,0.95,low,0.01
0.81,0.45,0.95,low,0.01
0.82,0.45,0.95,low,0.01
0.83,0.45,0.95,low,0.01
0.84,0.45,0.95,low,0.01
0.85,0.45,0.95,low,0.01
0.86,0.45,0.95,low,0.01
0.87,0.45,0.95,low,0.01
0.88,0.45,0.95,low,0.01
0.89,0.45,0.95,low,0.01
0.9,0.45,0.95,low,0.01
0.91,0.45,0.95,low,0.01
0.92,0.45,0.95,low,0.01
0.93,0.45,0.95,low,0.01
0.94,0.45,0.95,low,0.01
0.95,0.45,0.95,low,0.01
0.96,0.45,0.95,low,0.01
0.97,0.45,0.95,low,0.01
0.98,0.45,0.95,low,0.01
0.99,0.45,0.95,low,0.01
0,0.5,0.95,low,NA
0.01,0.5,0.95,low,NA
0.02,0.5,0.95,low,NA
0.03,0.5,0.95,low,NA
0.04,0.5,0.95,low,NA
0.05,0.5,0.95,low,NA
0.06,0.5,0.95,low,NA
0.07,0.5,0.95,low,NA
0.08,0.5,0.95,low,NA
0.09,0.5,0.95,low,NA
0.1,0.5,0.95,low,NA
0.11,0.5,0.95,low,NA
0.12,0.5,0.95,low,0.56
0.13,0.5,0.95,low,0.01
0.14,0.5,0.95,low,0.01
0.15,0.5,0.95,low,0.01
0.16,0.5,0.95,low,0.01
0.17,0.5,0.95,low,0.01
0.18,0.5,0.95,low,0.01
0.19,0.5,0.95,low,0.01
0.2,0.5,0.95,low,0.01
0.21,0.5,0.95,low,0.01
0.22,0.5,0.95,low,0.01
0.23,0.5,0.95,low,0.01
0.24,0.5,0.95,low,0.01
0.25,0.5,0.95,low,0.01
0.26,0.5,0.95,low,0.01
0.27,0.5,0.95,low,0.01
0.28,0.5,0.95,low,0.01
0.29,0.5,0.95,low,0.01
0.3,0.5,0.95,low,0.01
0.31,0.5,0.95,low,0.01
0.32,0.5,0.95,low,0.01
0.33,0.5,0.95,low,0.01
0.34,0.5,0.95,low,0.01
0.35,0.5,0.95,low,0.01
0.36,0.5,0.95,low,0.01
0.37,0.5,0.95,low,0.01
0.38,0.5,0.95,low,0.01
0.39,0.5,0.95,low,0.01
0.4,0.5,0.95,low,0.01
0.41,0.5,0.95,low,0.01
0.42,0.5,0.95,low,0.01
0.43,0.5,0.95,low,0.01
0.44,0.5,0.95,low,0.01
0.45,0.5,0.95,low,0.01
0.46,0.5,0.95,low,0.01
0.47,0.5,0.95,low,0.01
0.48,0.5,0.95,low,0.01
0.49,0.5,0.95,low,0.01
0.5,0.5,0.95,low,0.01
0.51,0.5,0.95,low,0.01
0.52,0.5,0.95,low,0.01
0.53,0.5,0.95,low,0.01
0.54,0.5,0.95,low,0.01
0.55,0.5,0.95,low,0.01
0.56,0.5,0.95,low,0.01
0.57,0.5,0.95,low,0.01
0.58,0.5,0.95,low,0.01
0.59,0.5,0.95,low,0.01
0.6,0.5,0.95,low,0.01
0.61,0.5,0.95,low,0.01
0.62,0.5,0.95,low,0.01
0.63,0.5,0.95,low,0.01
0.64,0.5,0.95,low,0.01
0.65,0.5,0.95,low,0.01
0.66,0.5,0.95,low,0.01
0.67,0.5,0.95,low,0.01
0.68,0.5,0.95,low,0.01
0.69,0.5,0.95,low,0.01
0.7,0.5,0.95,low,0.01
0.71,0.5,0.95,low,0.01
0.72,0.5,0.95,low,0.01
0.73,0.5,0.95,low,0.01
0.74,0.5,0.95,low,0.01
0.75,0.5,0.95,low,0.01
0.76,0.5,0.95,low,0.01
0.77,0.5,0.95,low,0.01
0.78,0.5,0.95,low,0.01
0.79,0.5,0.95,low,0.01
0.8,0.5,0.95,low,0.01
0.81,0.5,0.95,low,0.01
0.82,0.5,0.95,low,0.01
0.83,0.5,0.95,low,0.01
0.84,0.5,0.95,low,0.01
0.85,0.5,0.95,low,0.01
0.86,0.5,0.95,low,0.01
0.87,0.5,0.95,low,0.01
0.88,0.5,0.95,low,0.01
0.89,0.5,0.95,low,0.01
0.9,0.5,0.95,low,0.01
0.91,0.5,0.95,low,0.01
0.92,0.5,0.95,low,0.01
0.93,0.5,0.95,low,0.01
0.94,0.5,0.95,low,0.01
0.95,0.5,0.95,low,0.01
0.96,0.5,0.95,low,0.01
0.97,0.5,0.95,low,0.01
0.98,0.5,0.95,low,0.01
0.99,0.5,0.95,low,0.01
0,0.55,0.95,low,NA
0.01,0.55,0.95,low,NA
0.02,0.55,0.95,low,NA
0.03,0.55,0.95,low,NA
0.04,0.55,0.95,low,NA
0.05,0.55,0.95,low,NA
0.06,0.55,0.95,low,NA
0.07,0.55,0.95,low,NA
0.08,0.55,0.95,low,NA
0.09,0.55,0.95,low,NA
0.1,0.55,0.95,low,NA
0.11,0.55,0.95,low,NA
0.12,0.55,0.95,low,NA
0.13,0.55,0.95,low,0.46
0.14,0.55,0.95,low,0.01
0.15,0.55,0.95,low,0.01
0.16,0.55,0.95,low,0.01
0.17,0.55,0.95,low,0.01
0.18,0.55,0.95,low,0.01
0.19,0.55,0.95,low,0.01
0.2,0.55,0.95,low,0.01
0.21,0.55,0.95,low,0.01
0.22,0.55,0.95,low,0.01
0.23,0.55,0.95,low,0.01
0.24,0.55,0.95,low,0.01
0.25,0.55,0.95,low,0.01
0.26,0.55,0.95,low,0.01
0.27,0.55,0.95,low,0.01
0.28,0.55,0.95,low,0.01
0.29,0.55,0.95,low,0.01
0.3,0.55,0.95,low,0.01
0.31,0.55,0.95,low,0.01
0.32,0.55,0.95,low,0.01
0.33,0.55,0.95,low,0.01
0.34,0.55,0.95,low,0.01
0.35,0.55,0.95,low,0.01
0.36,0.55,0.95,low,0.01
0.37,0.55,0.95,low,0.01
0.38,0.55,0.95,low,0.01
0.39,0.55,0.95,low,0.01
0.4,0.55,0.95,low,0.01
0.41,0.55,0.95,low,0.01
0.42,0.55,0.95,low,0.01
0.43,0.55,0.95,low,0.01
0.44,0.55,0.95,low,0.01
0.45,0.55,0.95,low,0.01
0.46,0.55,0.95,low,0.01
0.47,0.55,0.95,low,0.01
0.48,0.55,0.95,low,0.01
0.49,0.55,0.95,low,0.01
0.5,0.55,0.95,low,0.01
0.51,0.55,0.95,low,0.01
0.52,0.55,0.95,low,0.01
0.53,0.55,0.95,low,0.01
0.54,0.55,0.95,low,0.01
0.55,0.55,0.95,low,0.01
0.56,0.55,0.95,low,0.01
0.57,0.55,0.95,low,0.01
0.58,0.55,0.95,low,0.01
0.59,0.55,0.95,low,0.01
0.6,0.55,0.95,low,0.01
0.61,0.55,0.95,low,0.01
0.62,0.55,0.95,low,0.01
0.63,0.55,0.95,low,0.01
0.64,0.55,0.95,low,0.01
0.65,0.55,0.95,low,0.01
0.66,0.55,0.95,low,0.01
0.67,0.55,0.95,low,0.01
0.68,0.55,0.95,low,0.01
0.69,0.55,0.95,low,0.01
0.7,0.55,0.95,low,0.01
0.71,0.55,0.95,low,0.01
0.72,0.55,0.95,low,0.01
0.73,0.55,0.95,low,0.01
0.74,0.55,0.95,low,0.01
0.75,0.55,0.95,low,0.01
0.76,0.55,0.95,low,0.01
0.77,0.55,0.95,low,0.01
0.78,0.55,0.95,low,0.01
0.79,0.55,0.95,low,0.01
0.8,0.55,0.95,low,0.01
0.81,0.55,0.95,low,0.01
0.82,0.55,0.95,low,0.01
0.83,0.55,0.95,low,0.01
0.84,0.55,0.95,low,0.01
0.85,0.55,0.95,low,0.01
0.86,0.55,0.95,low,0.01
0.87,0.55,0.95,low,0.01
0.88,0.55,0.95,low,0.01
0.89,0.55,0.95,low,0.01
0.9,0.55,0.95,low,0.01
0.91,0.55,0.95,low,0.01
0.92,0.55,0.95,low,0.01
0.93,0.55,0.95,low,0.01
0.94,0.55,0.95,low,0.01
0.95,0.55,0.95,low,0.01
0.96,0.55,0.95,low,0.01
0.97,0.55,0.95,low,0.01
0.98,0.55,0.95,low,0.01
0.99,0.55,0.95,low,0.01
0,0.6,0.95,low,NA
0.01,0.6,0.95,low,NA
0.02,0.6,0.95,low,NA
0.03,0.6,0.95,low,NA
0.04,0.6,0.95,low,NA
0.05,0.6,0.95,low,NA
0.06,0.6,0.95,low,NA
0.07,0.6,0.95,low,NA
0.08,0.6,0.95,low,NA
0.09,0.6,0.95,low,NA
0.1,0.6,0.95,low,NA
0.11,0.6,0.95,low,NA
0.12,0.6,0.95,low,NA
0.13,0.6,0.95,low,0.9600000000000001
0.14,0.6,0.95,low,0.46
0.15,0.6,0.95,low,0.01
0.16,0.6,0.95,low,0.01
0.17,0.6,0.95,low,0.01
0.18,0.6,0.95,low,0.01
0.19,0.6,0.95,low,0.01
0.2,0.6,0.95,low,0.01
0.21,0.6,0.95,low,0.01
0.22,0.6,0.95,low,0.01
0.23,0.6,0.95,low,0.01
0.24,0.6,0.95,low,0.01
0.25,0.6,0.95,low,0.01
0.26,0.6,0.95,low,0.01
0.27,0.6,0.95,low,0.01
0.28,0.6,0.95,low,0.01
0.29,0.6,0.95,low,0.01
0.3,0.6,0.95,low,0.01
0.31,0.6,0.95,low,0.01
0.32,0.6,0.95,low,0.01
0.33,0.6,0.95,low,0.01
0.34,0.6,0.95,low,0.01
0.35,0.6,0.95,low,0.01
0.36,0.6,0.95,low,0.01
0.37,0.6,0.95,low,0.01
0.38,0.6,0.95,low,0.01
0.39,0.6,0.95,low,0.01
0.4,0.6,0.95,low,0.01
0.41,0.6,0.95,low,0.01
0.42,0.6,0.95,low,0.01
0.43,0.6,0.95,low,0.01
0.44,0.6,0.95,low,0.01
0.45,0.6,0.95,low,0.01
0.46,0.6,0.95,low,0.01
0.47,0.6,0.95,low,0.01
0.48,0.6,0.95,low,0.01
0.49,0.6,0.95,low,0.01
0.5,0.6,0.95,low,0.01
0.51,0.6,0.95,low,0.01
0.52,0.6,0.95,low,0.01
0.53,0.6,0.95,low,0.01
0.54,0.6,0.95,low,0.01
0.55,0.6,0.95,low,0.01
0.56,0.6,0.95,low,0.01
0.57,0.6,0.95,low,0.01
0.58,0.6,0.95,low,0.01
0.59,0.6,0.95,low,0.01
0.6,0.6,0.95,low,0.01
0.61,0.6,0.95,low,0.01
0.62,0.6,0.95,low,0.01
0.63,0.6,0.95,low,0.01
0.64,0.6,0.95,low,0.01
0.65,0.6,0.95,low,0.01
0.66,0.6,0.95,low,0.01
0.67,0.6,0.95,low,0.01
0.68,0.6,0.95,low,0.01
0.69,0.6,0.95,low,0.01
0.7,0.6,0.95,low,0.01
0.71,0.6,0.95,low,0.01
0.72,0.6,0.95,low,0.01
0.73,0.6,0.95,low,0.01
0.74,0.6,0.95,low,0.01
0.75,0.6,0.95,low,0.01
0.76,0.6,0.95,low,0.01
0.77,0.6,0.95,low,0.01
0.78,0.6,0.95,low,0.01
0.79,0.6,0.95,low,0.01
0.8,0.6,0.95,low,0.01
0.81,0.6,0.95,low,0.01
0.82,0.6,0.95,low,0.01
0.83,0.6,0.95,low,0.01
0.84,0.6,0.95,low,0.01
0.85,0.6,0.95,low,0.01
0.86,0.6,0.95,low,0.01
0.87,0.6,0.95,low,0.01
0.88,0.6,0.95,low,0.01
0.89,0.6,0.95,low,0.01
0.9,0.6,0.95,low,0.01
0.91,0.6,0.95,low,0.01
0.92,0.6,0.95,low,0.01
0.93,0.6,0.95,low,0.01
0.94,0.6,0.95,low,0.01
0.95,0.6,0.95,low,0.01
0.96,0.6,0.95,low,0.01
0.97,0.6,0.95,low,0.01
0.98,0.6,0.95,low,0.01
0.99,0.6,0.95,low,0.01
0,0.65,0.95,low,NA
0.01,0.65,0.95,low,NA
0.02,0.65,0.95,low,NA
0.03,0.65,0.95,low,NA
0.04,0.65,0.95,low,NA
0.05,0.65,0.95,low,NA
0.06,0.65,0.95,low,NA
0.07,0.65,0.95,low,NA
0.08,0.65,0.95,low,NA
0.09,0.65,0.95,low,NA
0.1,0.65,0.95,low,NA
0.11,0.65,0.95,low,NA
0.12,0.65,0.95,low,NA
0.13,0.65,0.95,low,NA
0.14,0.65,0.95,low,0.91
0.15,0.65,0.95,low,0.41000000000000003
0.16,0.65,0.95,low,0.01
0.17,0.65,0.95,low,0.01
0.18,0.65,0.95,low,0.01
0.19,0.65,0.95,low,0.01
0.2,0.65,0.95,low,0.01
0.21,0.65,0.95,low,0.01
0.22,0.65,0.95,low,0.01
0.23,0.65,0.95,low,0.01
0.24,0.65,0.95,low,0.01
0.25,0.65,0.95,low,0.01
0.26,0.65,0.95,low,0.01
0.27,0.65,0.95,low,0.01
0.28,0.65,0.95,low,0.01
0.29,0.65,0.95,low,0.01
0.3,0.65,0.95,low,0.01
0.31,0.65,0.95,low,0.01
0.32,0.65,0.95,low,0.01
0.33,0.65,0.95,low,0.01
0.34,0.65,0.95,low,0.01
0.35,0.65,0.95,low,0.01
0.36,0.65,0.95,low,0.01
0.37,0.65,0.95,low,0.01
0.38,0.65,0.95,low,0.01
0.39,0.65,0.95,low,0.01
0.4,0.65,0.95,low,0.01
0.41,0.65,0.95,low,0.01
0.42,0.65,0.95,low,0.01
0.43,0.65,0.95,low,0.01
0.44,0.65,0.95,low,0.01
0.45,0.65,0.95,low,0.01
0.46,0.65,0.95,low,0.01
0.47,0.65,0.95,low,0.01
0.48,0.65,0.95,low,0.01
0.49,0.65,0.95,low,0.01
0.5,0.65,0.95,low,0.01
0.51,0.65,0.95,low,0.01
0.52,0.65,0.95,low,0.01
0.53,0.65,0.95,low,0.01
0.54,0.65,0.95,low,0.01
0.55,0.65,0.95,low,0.01
0.56,0.65,0.95,low,0.01
0.57,0.65,0.95,low,0.01
0.58,0.65,0.95,low,0.01
0.59,0.65,0.95,low,0.01
0.6,0.65,0.95,low,0.01
0.61,0.65,0.95,low,0.01
0.62,0.65,0.95,low,0.01
0.63,0.65,0.95,low,0.01
0.64,0.65,0.95,low,0.01
0.65,0.65,0.95,low,0.01
0.66,0.65,0.95,low,0.01
0.67,0.65,0.95,low,0.01
0.68,0.65,0.95,low,0.01
0.69,0.65,0.95,low,0.01
0.7,0.65,0.95,low,0.01
0.71,0.65,0.95,low,0.01
0.72,0.65,0.95,low,0.01
0.73,0.65,0.95,low,0.01
0.74,0.65,0.95,low,0.01
0.75,0.65,0.95,low,0.01
0.76,0.65,0.95,low,0.01
0.77,0.65,0.95,low,0.01
0.78,0.65,0.95,low,0.01
0.79,0.65,0.95,low,0.01
0.8,0.65,0.95,low,0.01
0.81,0.65,0.95,low,0.01
0.82,0.65,0.95,low,0.01
0.83,0.65,0.95,low,0.01
0.84,0.65,0.95,low,0.01
0.85,0.65,0.95,low,0.01
0.86,0.65,0.95,low,0.01
0.87,0.65,0.95,low,0.01
0.88,0.65,0.95,low,0.01
0.89,0.65,0.95,low,0.01
0.9,0.65,0.95,low,0.01
0.91,0.65,0.95,low,0.01
0.92,0.65,0.95,low,0.01
0.93,0.65,0.95,low,0.01
0.94,0.65,0.95,low,0.01
0.95,0.65,0.95,low,0.01
0.96,0.65,0.95,low,0.01
0.97,0.65,0.95,low,0.01
0.98,0.65,0.95,low,0.01
0.99,0.65,0.95,low,0.01
0,0.7,0.95,low,NA
0.01,0.7,0.95,low,NA
0.02,0.7,0.95,low,NA
0.03,0.7,0.95,low,NA
0.04,0.7,0.95,low,NA
0.05,0.7,0.95,low,NA
0.06,0.7,0.95,low,NA
0.07,0.7,0.95,low,NA
0.08,0.7,0.95,low,NA
0.09,0.7,0.95,low,NA
0.1,0.7,0.95,low,NA
0.11,0.7,0.95,low,NA
0.12,0.7,0.95,low,NA
0.13,0.7,0.95,low,NA
0.14,0.7,0.95,low,NA
0.15,0.7,0.95,low,0.8600000000000001
0.16,0.7,0.95,low,0.36000000000000004
0.17,0.7,0.95,low,0.01
0.18,0.7,0.95,low,0.01
0.19,0.7,0.95,low,0.01
0.2,0.7,0.95,low,0.01
0.21,0.7,0.95,low,0.01
0.22,0.7,0.95,low,0.01
0.23,0.7,0.95,low,0.01
0.24,0.7,0.95,low,0.01
0.25,0.7,0.95,low,0.01
0.26,0.7,0.95,low,0.01
0.27,0.7,0.95,low,0.01
0.28,0.7,0.95,low,0.01
0.29,0.7,0.95,low,0.01
0.3,0.7,0.95,low,0.01
0.31,0.7,0.95,low,0.01
0.32,0.7,0.95,low,0.01
0.33,0.7,0.95,low,0.01
0.34,0.7,0.95,low,0.01
0.35,0.7,0.95,low,0.01
0.36,0.7,0.95,low,0.01
0.37,0.7,0.95,low,0.01
0.38,0.7,0.95,low,0.01
0.39,0.7,0.95,low,0.01
0.4,0.7,0.95,low,0.01
0.41,0.7,0.95,low,0.01
0.42,0.7,0.95,low,0.01
0.43,0.7,0.95,low,0.01
0.44,0.7,0.95,low,0.01
0.45,0.7,0.95,low,0.01
0.46,0.7,0.95,low,0.01
0.47,0.7,0.95,low,0.01
0.48,0.7,0.95,low,0.01
0.49,0.7,0.95,low,0.01
0.5,0.7,0.95,low,0.01
0.51,0.7,0.95,low,0.01
0.52,0.7,0.95,low,0.01
0.53,0.7,0.95,low,0.01
0.54,0.7,0.95,low,0.01
0.55,0.7,0.95,low,0.01
0.56,0.7,0.95,low,0.01
0.57,0.7,0.95,low,0.01
0.58,0.7,0.95,low,0.01
0.59,0.7,0.95,low,0.01
0.6,0.7,0.95,low,0.01
0.61,0.7,0.95,low,0.01
0.62,0.7,0.95,low,0.01
0.63,0.7,0.95,low,0.01
0.64,0.7,0.95,low,0.01
0.65,0.7,0.95,low,0.01
0.66,0.7,0.95,low,0.01
0.67,0.7,0.95,low,0.01
0.68,0.7,0.95,low,0.01
0.69,0.7,0.95,low,0.01
0.7,0.7,0.95,low,0.01
0.71,0.7,0.95,low,0.01
0.72,0.7,0.95,low,0.01
0.73,0.7,0.95,low,0.01
0.74,0.7,0.95,low,0.01
0.75,0.7,0.95,low,0.01
0.76,0.7,0.95,low,0.01
0.77,0.7,0.95,low,0.01
0.78,0.7,0.95,low,0.01
0.79,0.7,0.95,low,0.01
0.8,0.7,0.95,low,0.01
0.81,0.7,0.95,low,0.01
0.82,0.7,0.95,low,0.01
0.83,0.7,0.95,low,0.01
0.84,0.7,0.95,low,0.01
0.85,0.7,0.95,low,0.01
0.86,0.7,0.95,low,0.01
0.87,0.7,0.95,low,0.01
0.88,0.7,0.95,low,0.01
0.89,0.7,0.95,low,0.01
0.9,0.7,0.95,low,0.01
0.91,0.7,0.95,low,0.01
0.92,0.7,0.95,low,0.01
0.93,0.7,0.95,low,0.01
0.94,0.7,0.95,low,0.01
0.95,0.7,0.95,low,0.01
0.96,0.7,0.95,low,0.01
0.97,0.7,0.95,low,0.01
0.98,0.7,0.95,low,0.01
0.99,0.7,0.95,low,0.01
0,0.75,0.95,low,NA
0.01,0.75,0.95,low,NA
0.02,0.75,0.95,low,NA
0.03,0.75,0.95,low,NA
0.04,0.75,0.95,low,NA
0.05,0.75,0.95,low,NA
0.06,0.75,0.95,low,NA
0.07,0.75,0.95,low,NA
0.08,0.75,0.95,low,NA
0.09,0.75,0.95,low,NA
0.1,0.75,0.95,low,NA
0.11,0.75,0.95,low,NA
0.12,0.75,0.95,low,NA
0.13,0.75,0.95,low,NA
0.14,0.75,0.95,low,NA
0.15,0.75,0.95,low,NA
0.16,0.75,0.95,low,0.81
0.17,0.75,0.95,low,0.36000000000000004
0.18,0.75,0.95,low,0.01
0.19,0.75,0.95,low,0.01
0.2,0.75,0.95,low,0.01
0.21,0.75,0.95,low,0.01
0.22,0.75,0.95,low,0.01
0.23,0.75,0.95,low,0.01
0.24,0.75,0.95,low,0.01
0.25,0.75,0.95,low,0.01
0.26,0.75,0.95,low,0.01
0.27,0.75,0.95,low,0.01
0.28,0.75,0.95,low,0.01
0.29,0.75,0.95,low,0.01
0.3,0.75,0.95,low,0.01
0.31,0.75,0.95,low,0.01
0.32,0.75,0.95,low,0.01
0.33,0.75,0.95,low,0.01
0.34,0.75,0.95,low,0.01
0.35,0.75,0.95,low,0.01
0.36,0.75,0.95,low,0.01
0.37,0.75,0.95,low,0.01
0.38,0.75,0.95,low,0.01
0.39,0.75,0.95,low,0.01
0.4,0.75,0.95,low,0.01
0.41,0.75,0.95,low,0.01
0.42,0.75,0.95,low,0.01
0.43,0.75,0.95,low,0.01
0.44,0.75,0.95,low,0.01
0.45,0.75,0.95,low,0.01
0.46,0.75,0.95,low,0.01
0.47,0.75,0.95,low,0.01
0.48,0.75,0.95,low,0.01
0.49,0.75,0.95,low,0.01
0.5,0.75,0.95,low,0.01
0.51,0.75,0.95,low,0.01
0.52,0.75,0.95,low,0.01
0.53,0.75,0.95,low,0.01
0.54,0.75,0.95,low,0.01
0.55,0.75,0.95,low,0.01
0.56,0.75,0.95,low,0.01
0.57,0.75,0.95,low,0.01
0.58,0.75,0.95,low,0.01
0.59,0.75,0.95,low,0.01
0.6,0.75,0.95,low,0.01
0.61,0.75,0.95,low,0.01
0.62,0.75,0.95,low,0.01
0.63,0.75,0.95,low,0.01
0.64,0.75,0.95,low,0.01
0.65,0.75,0.95,low,0.01
0.66,0.75,0.95,low,0.01
0.67,0.75,0.95,low,0.01
0.68,0.75,0.95,low,0.01
0.69,0.75,0.95,low,0.01
0.7,0.75,0.95,low,0.01
0.71,0.75,0.95,low,0.01
0.72,0.75,0.95,low,0.01
0.73,0.75,0.95,low,0.01
0.74,0.75,0.95,low,0.01
0.75,0.75,0.95,low,0.01
0.76,0.75,0.95,low,0.01
0.77,0.75,0.95,low,0.01
0.78,0.75,0.95,low,0.01
0.79,0.75,0.95,low,0.01
0.8,0.75,0.95,low,0.01
0.81,0.75,0.95,low,0.01
0.82,0.75,0.95,low,0.01
0.83,0.75,0.95,low,0.01
0.84,0.75,0.95,low,0.01
0.85,0.75,0.95,low,0.01
0.86,0.75,0.95,low,0.01
0.87,0.75,0.95,low,0.01
0.88,0.75,0.95,low,0.01
0.89,0.75,0.95,low,0.01
0.9,0.75,0.95,low,0.01
0.91,0.75,0.95,low,0.01
0.92,0.75,0.95,low,0.01
0.93,0.75,0.95,low,0.01
0.94,0.75,0.95,low,0.01
0.95,0.75,0.95,low,0.01
0.96,0.75,0.95,low,0.01
0.97,0.75,0.95,low,0.01
0.98,0.75,0.95,low,0.01
0.99,0.75,0.95,low,0.01
0,0.8,0.95,low,NA
0.01,0.8,0.95,low,NA
0.02,0.8,0.95,low,NA
0.03,0.8,0.95,low,NA
0.04,0.8,0.95,low,NA
0.05,0.8,0.95,low,NA
0.06,0.8,0.95,low,NA
0.07,0.8,0.95,low,NA
0.08,0.8,0.95,low,NA
0.09,0.8,0.95,low,NA
0.1,0.8,0.95,low,NA
0.11,0.8,0.95,low,NA
0.12,0.8,0.95,low,NA
0.13,0.8,0.95,low,NA
0.14,0.8,0.95,low,NA
0.15,0.8,0.95,low,NA
0.16,0.8,0.95,low,NA
0.17,0.8,0.95,low,0.76
0.18,0.8,0.95,low,0.36000000000000004
0.19,0.8,0.95,low,0.01
0.2,0.8,0.95,low,0.01
0.21,0.8,0.95,low,0.01
0.22,0.8,0.95,low,0.01
0.23,0.8,0.95,low,0.01
0.24,0.8,0.95,low,0.01
0.25,0.8,0.95,low,0.01
0.26,0.8,0.95,low,0.01
0.27,0.8,0.95,low,0.01
0.28,0.8,0.95,low,0.01
0.29,0.8,0.95,low,0.01
0.3,0.8,0.95,low,0.01
0.31,0.8,0.95,low,0.01
0.32,0.8,0.95,low,0.01
0.33,0.8,0.95,low,0.01
0.34,0.8,0.95,low,0.01
0.35,0.8,0.95,low,0.01
0.36,0.8,0.95,low,0.01
0.37,0.8,0.95,low,0.01
0.38,0.8,0.95,low,0.01
0.39,0.8,0.95,low,0.01
0.4,0.8,0.95,low,0.01
