r,d,y,a,g,z,Equilibrium,C,M,eig_1,eig_2,stability,Colour
0.55,0.24,0.77,0,0,0,1,0,0,0.31,0.77,unstable_node,gold
0.55,0.24,0.77,0,0,0,2,0,1,-0.77,-0.24,stable_node,black
0.55,0.24,0.77,0,0,0,3,0.563636364,0,-0.31,0.336,saddle_node,purple
0.55,0.24,0.77,0,0.01,0,1,0,0,0.31,0.76,unstable_node,gold
0.55,0.24,0.77,0,0.01,0,2,0.563636364,0,-0.31,0.313083333,saddle_node,purple
0.55,0.24,0.77,0,0.01,0,3,0,0.987012987,-0.76,-0.232857143,stable_node,black
0.55,0.24,0.77,0,0.02,0,1,0,0,0.31,0.75,unstable_node,gold
0.55,0.24,0.77,0,0.02,0,2,0.563636364,0,-0.31,0.290166667,saddle_node,purple
0.55,0.24,0.77,0,0.02,0,3,0,0.974025974,-0.75,-0.225714286,stable_node,black
0.55,0.24,0.77,0,0.03,0,1,0,0,0.31,0.74,unstable_node,gold
0.55,0.24,0.77,0,0.03,0,2,0.563636364,0,-0.31,0.26725,saddle_node,purple
0.55,0.24,0.77,0,0.03,0,3,0,0.961038961,-0.74,-0.218571429,stable_node,black
0.55,0.24,0.77,0,0.04,0,1,0,0,0.31,0.73,unstable_node,gold
0.55,0.24,0.77,0,0.04,0,2,0.563636364,0,-0.31,0.244333333,saddle_node,purple
0.55,0.24,0.77,0,0.04,0,3,0,0.948051948,-0.73,-0.211428571,stable_node,black
0.55,0.24,0.77,0,0.05,0,1,0,0,0.31,0.72,unstable_node,gold
0.55,0.24,0.77,0,0.05,0,2,0.563636364,0,-0.31,0.221416667,saddle_node,purple
0.55,0.24,0.77,0,0.05,0,3,0,0.935064935,-0.72,-0.204285714,stable_node,black
0.55,0.24,0.77,0,0.06,0,1,0,0,0.31,0.71,unstable_node,gold
0.55,0.24,0.77,0,0.06,0,2,0.563636364,0,-0.31,0.1985,saddle_node,purple
0.55,0.24,0.77,0,0.06,0,3,0,0.922077922,-0.71,-0.197142857,stable_node,black
0.55,0.24,0.77,0,0.07,0,1,0,0,0.31,0.7,unstable_node,gold
0.55,0.24,0.77,0,0.07,0,2,0.563636364,0,-0.31,0.175583333,saddle_node,purple
0.55,0.24,0.77,0,0.07,0,3,0,0.909090909,-0.7,-0.19,stable_node,black
0.55,0.24,0.77,0,0.08,0,1,0,0,0.31,0.69,unstable_node,gold
0.55,0.24,0.77,0,0.08,0,2,0.563636364,0,-0.31,0.152666667,saddle_node,purple
0.55,0.24,0.77,0,0.08,0,3,0,0.896103896,-0.69,-0.182857143,stable_node,black
0.55,0.24,0.77,0,0.09,0,1,0,0,0.31,0.68,unstable_node,gold
0.55,0.24,0.77,0,0.09,0,2,0.563636364,0,-0.31,0.12975,saddle_node,purple
0.55,0.24,0.77,0,0.09,0,3,0,0.883116883,-0.68,-0.175714286,stable_node,black
0.55,0.24,0.77,0,0.1,0,1,0,0,0.31,0.67,unstable_node,gold
0.55,0.24,0.77,0,0.1,0,2,0.563636364,0,-0.31,0.106833333,saddle_node,purple
0.55,0.24,0.77,0,0.1,0,3,0,0.87012987,-0.67,-0.168571429,stable_node,black
0.55,0.24,0.77,0,0.11,0,1,0,0,0.31,0.66,unstable_node,gold
0.55,0.24,0.77,0,0.11,0,2,0.563636364,0,-0.31,0.083916667,saddle_node,purple
0.55,0.24,0.77,0,0.11,0,3,0,0.857142857,-0.66,-0.161428571,stable_node,black
0.55,0.24,0.77,0,0.12,0,1,0,0,0.31,0.65,unstable_node,gold
0.55,0.24,0.77,0,0.12,0,2,0.563636364,0,-0.31,0.061,saddle_node,purple
0.55,0.24,0.77,0,0.12,0,3,0,0.844155844,-0.65,-0.154285714,stable_node,black
0.55,0.24,0.77,0,0.13,0,1,0,0,0.31,0.64,unstable_node,gold
0.55,0.24,0.77,0,0.13,0,2,0.563636364,0,-0.31,0.038083333,saddle_node,purple
0.55,0.24,0.77,0,0.13,0,3,0,0.831168831,-0.64,-0.147142857,stable_node,black
0.55,0.24,0.77,0,0.14,0,1,0,0,0.31,0.63,unstable_node,gold
0.55,0.24,0.77,0,0.14,0,2,0.563636364,0,-0.31,0.015166667,saddle_node,purple
0.55,0.24,0.77,0,0.14,0,3,0,0.818181818,-0.63,-0.14,stable_node,black
0.55,0.24,0.77,0,0.15,0,1,0,0,0.31,0.62,unstable_node,gold
0.55,0.24,0.77,0,0.15,0,2,0.563636364,0,-0.31,-0.00775,stable_node,black
0.55,0.24,0.77,0,0.15,0,3,0,0.805194805,-0.62,-0.132857143,stable_node,black
0.55,0.24,0.77,0,0.15,0,4,0.553571429,0.010064935,0.007220259,-0.319434544,saddle_node,purple
0.55,0.24,0.77,0,0.16,0,1,0,0,0.31,0.61,unstable_node,gold
0.55,0.24,0.77,0,0.16,0,2,0.563636364,0,-0.31,-0.030666667,stable_node,black
0.55,0.24,0.77,0,0.16,0,3,0,0.792207792,-0.61,-0.125714286,stable_node,black
0.55,0.24,0.77,0,0.16,0,4,0.523809524,0.03982684,0.023644423,-0.342406328,saddle_node,purple
0.55,0.24,0.77,0,0.17,0,1,0,0,0.31,0.6,unstable_node,gold
0.55,0.24,0.77,0,0.17,0,2,0.563636364,0,-0.31,-0.053583333,stable_node,black
0.55,0.24,0.77,0,0.17,0,3,0,0.779220779,-0.6,-0.118571429,stable_node,black
0.55,0.24,0.77,0,0.17,0,4,0.494047619,0.069588745,0.034864815,-0.360174339,saddle_node,purple
0.55,0.24,0.77,0,0.18,0,1,0,0,0.31,0.59,unstable_node,gold
0.55,0.24,0.77,0,0.18,0,2,0.563636364,0,-0.31,-0.0765,stable_node,black
0.55,0.24,0.77,0,0.18,0,3,0,0.766233766,-0.59,-0.111428571,stable_node,black
0.55,0.24,0.77,0,0.18,0,4,0.464285714,0.099350649,0.042504369,-0.374361512,saddle_node,purple
0.55,0.24,0.77,0,0.19,0,1,0,0,0.31,0.58,unstable_node,gold
0.55,0.24,0.77,0,0.19,0,2,0.563636364,0,-0.31,-0.099416667,stable_node,black
0.55,0.24,0.77,0,0.19,0,3,0,0.753246753,-0.58,-0.104285714,stable_node,black
0.55,0.24,0.77,0,0.19,0,4,0.43452381,0.129112554,0.047509345,-0.385914107,saddle_node,purple
0.55,0.24,0.77,0,0.2,0,1,0,0,0.31,0.57,unstable_node,gold
0.55,0.24,0.77,0,0.2,0,2,0.563636364,0,-0.31,-0.122333333,stable_node,black
0.55,0.24,0.77,0,0.2,0,3,0,0.74025974,-0.57,-0.097142857,stable_node,black
0.55,0.24,0.77,0,0.2,0,4,0.404761905,0.158874459,0.050487565,-0.395439946,saddle_node,purple
0.55,0.24,0.77,0,0.21,0,1,0,0,0.31,0.56,unstable_node,gold
0.55,0.24,0.77,0,0.21,0,2,0.563636364,0,-0.31,-0.14525,stable_node,black
0.55,0.24,0.77,0,0.21,0,3,0,0.727272727,-0.56,-0.09,stable_node,black
0.55,0.24,0.77,0,0.21,0,4,0.375,0.188636364,0.051855058,-0.403355058,saddle_node,purple
0.55,0.24,0.77,0,0.22,0,1,0,0,0.31,0.55,unstable_node,gold
0.55,0.24,0.77,0,0.22,0,2,0.563636364,0,-0.31,-0.168166667,stable_node,black
0.55,0.24,0.77,0,0.22,0,3,0,0.714285714,-0.55,-0.082857143,stable_node,black
0.55,0.24,0.77,0,0.22,0,4,0.345238095,0.218398268,0.051909626,-0.409957245,saddle_node,purple
0.55,0.24,0.77,0,0.23,0,1,0,0,0.31,0.54,unstable_node,gold
0.55,0.24,0.77,0,0.23,0,2,0.563636364,0,-0.31,-0.191083333,stable_node,black
0.55,0.24,0.77,0,0.23,0,3,0,0.701298701,-0.54,-0.075714286,stable_node,black
0.55,0.24,0.77,0,0.23,0,4,0.31547619,0.248160173,0.050871633,-0.415466871,saddle_node,purple
0.55,0.24,0.77,0,0.24,0,1,0,0,0.31,0.53,unstable_node,gold
0.55,0.24,0.77,0,0.24,0,2,0.563636364,0,-0.31,-0.214,stable_node,black
0.55,0.24,0.77,0,0.24,0,3,0,0.688311688,-0.53,-0.068571429,stable_node,black
0.55,0.24,0.77,0,0.24,0,4,0.285714286,0.277922078,0.048908326,-0.420051183,saddle_node,purple
0.55,0.24,0.77,0,0.25,0,1,0,0,0.31,0.52,unstable_node,gold
0.55,0.24,0.77,0,0.25,0,2,0.563636364,0,-0.31,-0.236916667,stable_node,black
0.55,0.24,0.77,0,0.25,0,3,0,0.675324675,-0.52,-0.061428571,stable_node,black
0.55,0.24,0.77,0,0.25,0,4,0.255952381,0.307683983,0.046149153,-0.423839629,saddle_node,purple
0.55,0.24,0.77,0,0.26,0,1,0,0,0.31,0.51,unstable_node,gold
0.55,0.24,0.77,0,0.26,0,2,0.563636364,0,-0.31,-0.259833333,stable_node,black
0.55,0.24,0.77,0,0.26,0,3,0,0.662337662,-0.51,-0.054285714,stable_node,black
0.55,0.24,0.77,0,0.26,0,4,0.226190476,0.337445887,0.04269585,-0.426933945,saddle_node,purple
0.55,0.24,0.77,0,0.27,0,1,0,0,0.31,0.5,unstable_node,gold
0.55,0.24,0.77,0,0.27,0,2,0.563636364,0,-0.31,-0.28275,stable_node,black
0.55,0.24,0.77,0,0.27,0,3,0,0.649350649,-0.5,-0.047142857,stable_node,black
0.55,0.24,0.77,0,0.27,0,4,0.196428571,0.367207792,0.038629297,-0.429415011,saddle_node,purple
0.55,0.24,0.77,0,0.28,0,1,0,0,0.31,0.49,unstable_node,gold
0.55,0.24,0.77,0,0.28,0,2,0.563636364,0,-0.31,-0.305666667,stable_node,black
0.55,0.24,0.77,0,0.28,0,3,0,0.636363636,-0.49,-0.04,stable_node,black
0.55,0.24,0.77,0,0.28,0,4,0.166666667,0.396969697,0.034014326,-0.43134766,saddle_node,purple
0.55,0.24,0.77,0,0.29,0,1,0,0,0.31,0.48,unstable_node,gold
0.55,0.24,0.77,0,0.29,0,2,0.563636364,0,-0.328583333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.29,0,3,0,0.623376623,-0.48,-0.032857143,stable_node,black
0.55,0.24,0.77,0,0.29,0,4,0.136904762,0.426731602,0.028903158,-0.432784111,saddle_node,purple
0.55,0.24,0.77,0,0.3,0,1,0,0,0.31,0.47,unstable_node,gold
0.55,0.24,0.77,0,0.3,0,2,0.563636364,0,-0.3515,-0.31,stable_node,black
0.55,0.24,0.77,0,0.3,0,3,0,0.61038961,-0.47,-0.025714286,stable_node,black
0.55,0.24,0.77,0,0.3,0,4,0.107142857,0.456493506,0.023337903,-0.433766475,saddle_node,purple
0.55,0.24,0.77,0,0.31,0,1,0,0,0.31,0.46,unstable_node,gold
0.55,0.24,0.77,0,0.31,0,2,0.563636364,0,-0.374416667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.31,0,3,0,0.597402597,-0.46,-0.018571429,stable_node,black
0.55,0.24,0.77,0,0.31,0,4,0.077380952,0.486255411,0.017352404,-0.434328594,saddle_node,purple
0.55,0.24,0.77,0,0.32,0,1,0,0,0.31,0.45,unstable_node,gold
0.55,0.24,0.77,0,0.32,0,2,0.563636364,0,-0.397333333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.32,0,3,0,0.584415584,-0.45,-0.011428571,stable_node,black
0.55,0.24,0.77,0,0.32,0,4,0.047619048,0.516017316,0.010973598,-0.434497408,saddle_node,purple
0.55,0.24,0.77,0,0.33,0,1,0,0,0.31,0.44,unstable_node,gold
0.55,0.24,0.77,0,0.33,0,2,0.563636364,0,-0.42025,-0.31,stable_node,black
0.55,0.24,0.77,0,0.33,0,3,0,0.571428571,-0.44,-0.004285714,stable_node,black
0.55,0.24,0.77,0,0.33,0,4,0.017857143,0.545779221,0.004222528,-0.434293956,saddle_node,purple
0.55,0.24,0.77,0,0.34,0,1,0,0,0.31,0.43,unstable_node,gold
0.55,0.24,0.77,0,0.34,0,2,0,0.558441558,-0.43,0.002857143,saddle_node,purple
0.55,0.24,0.77,0,0.34,0,3,0.563636364,0,-0.443166667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.35,0,1,0,0,0.31,0.42,unstable_node,gold
0.55,0.24,0.77,0,0.35,0,2,0,0.545454545,-0.42,0.01,saddle_node,purple
0.55,0.24,0.77,0,0.35,0,3,0.563636364,0,-0.466083333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.36,0,1,0,0,0.31,0.41,unstable_node,gold
0.55,0.24,0.77,0,0.36,0,2,0,0.532467532,-0.41,0.017142857,saddle_node,purple
0.55,0.24,0.77,0,0.36,0,3,0.563636364,0,-0.489,-0.31,stable_node,black
0.55,0.24,0.77,0,0.37,0,1,0,0,0.31,0.4,unstable_node,gold
0.55,0.24,0.77,0,0.37,0,2,0,0.519480519,-0.4,0.024285714,saddle_node,purple
0.55,0.24,0.77,0,0.37,0,3,0.563636364,0,-0.511916667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.38,0,1,0,0,0.31,0.39,unstable_node,gold
0.55,0.24,0.77,0,0.38,0,2,0,0.506493506,-0.39,0.031428571,saddle_node,purple
0.55,0.24,0.77,0,0.38,0,3,0.563636364,0,-0.534833333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.39,0,1,0,0,0.31,0.38,unstable_node,gold
0.55,0.24,0.77,0,0.39,0,2,0.563636364,0,-0.55775,-0.31,stable_node,black
0.55,0.24,0.77,0,0.39,0,3,0,0.493506494,-0.38,0.038571429,saddle_node,purple
0.55,0.24,0.77,0,0.4,0,1,0,0,0.31,0.37,unstable_node,gold
0.55,0.24,0.77,0,0.4,0,2,0.563636364,0,-0.580666667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.4,0,3,0,0.480519481,-0.37,0.045714286,saddle_node,purple
0.55,0.24,0.77,0,0.41,0,1,0,0,0.31,0.36,unstable_node,gold
0.55,0.24,0.77,0,0.41,0,2,0.563636364,0,-0.603583333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.41,0,3,0,0.467532468,-0.36,0.052857143,saddle_node,purple
0.55,0.24,0.77,0,0.42,0,1,0,0,0.31,0.35,unstable_node,gold
0.55,0.24,0.77,0,0.42,0,2,0.563636364,0,-0.6265,-0.31,stable_node,black
0.55,0.24,0.77,0,0.42,0,3,0,0.454545455,-0.35,0.06,saddle_node,purple
0.55,0.24,0.77,0,0.43,0,1,0,0,0.31,0.34,unstable_node,gold
0.55,0.24,0.77,0,0.43,0,2,0.563636364,0,-0.649416667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.43,0,3,0,0.441558442,-0.34,0.067142857,saddle_node,purple
0.55,0.24,0.77,0,0.44,0,1,0,0,0.31,0.33,unstable_node,gold
0.55,0.24,0.77,0,0.44,0,2,0.563636364,0,-0.672333333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.44,0,3,0,0.428571429,-0.33,0.074285714,saddle_node,purple
0.55,0.24,0.77,0,0.45,0,1,0,0,0.31,0.32,unstable_node,gold
0.55,0.24,0.77,0,0.45,0,2,0.563636364,0,-0.69525,-0.31,stable_node,black
0.55,0.24,0.77,0,0.45,0,3,0,0.415584416,-0.32,0.081428571,saddle_node,purple
0.55,0.24,0.77,0,0.46,0,1,0,0,0.31,0.31,unstable_node,gold
0.55,0.24,0.77,0,0.46,0,2,0.563636364,0,-0.718166667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.46,0,3,0,0.402597403,-0.31,0.088571429,saddle_node,purple
0.55,0.24,0.77,0,0.47,0,1,0,0,0.3,0.31,unstable_node,gold
0.55,0.24,0.77,0,0.47,0,2,0.563636364,0,-0.741083333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.47,0,3,0,0.38961039,-0.3,0.095714286,saddle_node,purple
0.55,0.24,0.77,0,0.48,0,1,0,0,0.29,0.31,unstable_node,gold
0.55,0.24,0.77,0,0.48,0,2,0.563636364,0,-0.764,-0.31,stable_node,black
0.55,0.24,0.77,0,0.48,0,3,0,0.376623377,-0.29,0.102857143,saddle_node,purple
0.55,0.24,0.77,0,0.49,0,1,0,0,0.28,0.31,unstable_node,gold
0.55,0.24,0.77,0,0.49,0,2,0.563636364,0,-0.786916667,-0.31,stable_node,black
0.55,0.24,0.77,0,0.49,0,3,0,0.363636364,-0.28,0.11,saddle_node,purple
0.55,0.24,0.77,0,0.5,0,1,0,0,0.27,0.31,unstable_node,gold
0.55,0.24,0.77,0,0.5,0,2,0.563636364,0,-0.809833333,-0.31,stable_node,black
0.55,0.24,0.77,0,0.5,0,3,0,0.350649351,-0.27,0.117142857,saddle_node,purple
0.55,0.24,0.77,0.01,0,0,1,0,0,0.31,0.77,unstable_node,gold
0.55,0.24,0.77,0.01,0,0,2,0,1,-0.77,-0.25,stable_node,black
0.55,0.24,0.77,0.01,0,0,3,0.563636364,0,-0.31,0.341636364,saddle_node,purple
0.55,0.24,0.77,0.01,0.01,0,1,0,0,0.31,0.76,unstable_node,gold
0.55,0.24,0.77,0.01,0.01,0,2,0.563636364,0,-0.31,0.318719697,saddle_node,purple
0.55,0.24,0.77,0.01,0.01,0,3,0,0.987012987,-0.76,-0.242727273,stable_node,black
0.55,0.24,0.77,0.01,0.02,0,1,0,0,0.31,0.75,unstable_node,gold
0.55,0.24,0.77,0.01,0.02,0,2,0.563636364,0,-0.31,0.29580303,saddle_node,purple
0.55,0.24,0.77,0.01,0.02,0,3,0,0.974025974,-0.75,-0.235454545,stable_node,black
0.55,0.24,0.77,0.01,0.03,0,1,0,0,0.31,0.74,unstable_node,gold
0.55,0.24,0.77,0.01,0.03,0,2,0.563636364,0,-0.31,0.272886364,saddle_node,purple
0.55,0.24,0.77,0.01,0.03,0,3,0,0.961038961,-0.74,-0.228181818,stable_node,black
0.55,0.24,0.77,0.01,0.04,0,1,0,0,0.31,0.73,unstable_node,gold
0.55,0.24,0.77,0.01,0.04,0,2,0.563636364,0,-0.31,0.249969697,saddle_node,purple
0.55,0.24,0.77,0.01,0.04,0,3,0,0.948051948,-0.73,-0.220909091,stable_node,black
0.55,0.24,0.77,0.01,0.05,0,1,0,0,0.31,0.72,unstable_node,gold
0.55,0.24,0.77,0.01,0.05,0,2,0.563636364,0,-0.31,0.22705303,saddle_node,purple
0.55,0.24,0.77,0.01,0.05,0,3,0,0.935064935,-0.72,-0.213636364,stable_node,black
0.55,0.24,0.77,0.01,0.06,0,1,0,0,0.31,0.71,unstable_node,gold
0.55,0.24,0.77,0.01,0.06,0,2,0.563636364,0,-0.31,0.204136364,saddle_node,purple
0.55,0.24,0.77,0.01,0.06,0,3,0,0.922077922,-0.71,-0.206363636,stable_node,black
0.55,0.24,0.77,0.01,0.07,0,1,0,0,0.31,0.7,unstable_node,gold
0.55,0.24,0.77,0.01,0.07,0,2,0.563636364,0,-0.31,0.181219697,saddle_node,purple
0.55,0.24,0.77,0.01,0.07,0,3,0,0.909090909,-0.7,-0.199090909,stable_node,black
0.55,0.24,0.77,0.01,0.08,0,1,0,0,0.31,0.69,unstable_node,gold
0.55,0.24,0.77,0.01,0.08,0,2,0.563636364,0,-0.31,0.15830303,saddle_node,purple
0.55,0.24,0.77,0.01,0.08,0,3,0,0.896103896,-0.69,-0.191818182,stable_node,black
0.55,0.24,0.77,0.01,0.09,0,1,0,0,0.31,0.68,unstable_node,gold
0.55,0.24,0.77,0.01,0.09,0,2,0.563636364,0,-0.31,0.135386364,saddle_node,purple
0.55,0.24,0.77,0.01,0.09,0,3,0,0.883116883,-0.68,-0.184545455,stable_node,black
0.55,0.24,0.77,0.01,0.1,0,1,0,0,0.31,0.67,unstable_node,gold
0.55,0.24,0.77,0.01,0.1,0,2,0.563636364,0,-0.31,0.112469697,saddle_node,purple
0.55,0.24,0.77,0.01,0.1,0,3,0,0.87012987,-0.67,-0.177272727,stable_node,black
0.55,0.24,0.77,0.01,0.11,0,1,0,0,0.31,0.66,unstable_node,gold
0.55,0.24,0.77,0.01,0.11,0,2,0.563636364,0,-0.31,0.08955303,saddle_node,purple
0.55,0.24,0.77,0.01,0.11,0,3,0,0.857142857,-0.66,-0.17,stable_node,black
0.55,0.24,0.77,0.01,0.12,0,1,0,0,0.31,0.65,unstable_node,gold
0.55,0.24,0.77,0.01,0.12,0,2,0.563636364,0,-0.31,0.066636364,saddle_node,purple
0.55,0.24,0.77,0.01,0.12,0,3,0,0.844155844,-0.65,-0.162727273,stable_node,black
0.55,0.24,0.77,0.01,0.13,0,1,0,0,0.31,0.64,unstable_node,gold
0.55,0.24,0.77,0.01,0.13,0,2,0.563636364,0,-0.31,0.043719697,saddle_node,purple
0.55,0.24,0.77,0.01,0.13,0,3,0,0.831168831,-0.64,-0.155454545,stable_node,black
0.55,0.24,0.77,0.01,0.14,0,1,0,0,0.31,0.63,unstable_node,gold
0.55,0.24,0.77,0.01,0.14,0,2,0.563636364,0,-0.31,0.02080303,saddle_node,purple
0.55,0.24,0.77,0.01,0.14,0,3,0,0.818181818,-0.63,-0.148181818,stable_node,black
0.55,0.24,0.77,0.01,0.15,0,1,0,0,0.31,0.62,unstable_node,gold
0.55,0.24,0.77,0.01,0.15,0,2,0.563636364,0,-0.31,-0.002113636,stable_node,black
0.55,0.24,0.77,0.01,0.15,0,3,0,0.805194805,-0.62,-0.140909091,stable_node,black
0.55,0.24,0.77,0.01,0.15,0,4,0.560949617,0.002638769,0.002073179,-0.312627321,saddle_node,purple
0.55,0.24,0.77,0.01,0.16,0,1,0,0,0.31,0.61,unstable_node,gold
0.55,0.24,0.77,0.01,0.16,0,2,0.563636364,0,-0.31,-0.025030303,stable_node,black
0.55,0.24,0.77,0.01,0.16,0,3,0,0.792207792,-0.61,-0.133636364,stable_node,black
0.55,0.24,0.77,0.01,0.16,0,4,0.531829234,0.031239145,0.020266975,-0.336827196,saddle_node,purple
0.55,0.24,0.77,0.01,0.17,0,1,0,0,0.31,0.6,unstable_node,gold
0.55,0.24,0.77,0.01,0.17,0,2,0.563636364,0,-0.31,-0.04794697,stable_node,black
0.55,0.24,0.77,0.01,0.17,0,3,0,0.779220779,-0.6,-0.126363636,stable_node,black
0.55,0.24,0.77,0.01,0.17,0,4,0.502727354,0.059821349,0.032762242,-0.355324725,saddle_node,purple
0.55,0.24,0.77,0.01,0.18,0,1,0,0,0.31,0.59,unstable_node,gold
0.55,0.24,0.77,0.01,0.18,0,2,0.563636364,0,-0.31,-0.070863636,stable_node,black
0.55,0.24,0.77,0.01,0.18,0,3,0,0.766233766,-0.59,-0.119090909,stable_node,black
0.55,0.24,0.77,0.01,0.18,0,4,0.473643942,0.088385415,0.041406615,-0.369967552,saddle_node,purple
0.55,0.24,0.77,0.01,0.19,0,1,0,0,0.31,0.58,unstable_node,gold
0.55,0.24,0.77,0.01,0.19,0,2,0.563636364,0,-0.31,-0.093780303,stable_node,black
0.55,0.24,0.77,0.01,0.19,0,3,0,0.753246753,-0.58,-0.111818182,stable_node,black
0.55,0.24,0.77,0.01,0.19,0,4,0.444578962,0.116931377,0.047247009,-0.381802599,saddle_node,purple
0.55,0.24,0.77,0.01,0.2,0,1,0,0,0.31,0.57,unstable_node,gold
0.55,0.24,0.77,0.01,0.2,0,2,0.563636364,0,-0.31,-0.11669697,stable_node,black
0.55,0.24,0.77,0.01,0.2,0,3,0,0.74025974,-0.57,-0.104545455,stable_node,black
0.55,0.24,0.77,0.01,0.2,0,4,0.415532379,0.14545927,0.050944206,-0.391490652,saddle_node,purple
0.55,0.24,0.77,0.01,0.21,0,1,0,0,0.31,0.56,unstable_node,gold
0.55,0.24,0.77,0.01,0.21,0,2,0.563636364,0,-0.31,-0.139613636,stable_node,black
0.55,0.24,0.77,0.01,0.21,0,3,0,0.727272727,-0.56,-0.097272727,stable_node,black
0.55,0.24,0.77,0.01,0.21,0,4,0.38650416,0.173969129,0.052945128,-0.399478645,saddle_node,purple
0.55,0.24,0.77,0.01,0.22,0,1,0,0,0.31,0.55,unstable_node,gold
0.55,0.24,0.77,0.01,0.22,0,2,0.563636364,0,-0.31,-0.162530303,stable_node,black
0.55,0.24,0.77,0.01,0.22,0,3,0,0.714285714,-0.55,-0.09,stable_node,black
0.55,0.24,0.77,0.01,0.22,0,4,0.357494268,0.202460987,0.053566933,-0.40608374,saddle_node,purple
0.55,0.24,0.77,0.01,0.23,0,1,0,0,0.31,0.54,unstable_node,gold
0.55,0.24,0.77,0.01,0.23,0,2,0.563636364,0,-0.31,-0.18544697,stable_node,black
0.55,0.24,0.77,0.01,0.23,0,3,0,0.701298701,-0.54,-0.082727273,stable_node,black
0.55,0.24,0.77,0.01,0.23,0,4,0.328502669,0.230934879,0.053042724,-0.411539049,saddle_node,purple
0.55,0.24,0.77,0.01,0.24,0,1,0,0,0.31,0.53,unstable_node,gold
0.55,0.24,0.77,0.01,0.24,0,2,0.563636364,0,-0.31,-0.208363636,stable_node,black
0.55,0.24,0.77,0.01,0.24,0,3,0,0.688311688,-0.53,-0.075454545,stable_node,black
0.55,0.24,0.77,0.01,0.24,0,4,0.299529329,0.259390838,0.05154843,-0.416020506,saddle_node,purple
0.55,0.24,0.77,0.01,0.25,0,1,0,0,0.31,0.52,unstable_node,gold
0.55,0.24,0.77,0.01,0.25,0,2,0.563636364,0,-0.31,-0.231280303,stable_node,black
0.55,0.24,0.77,0.01,0.25,0,3,0,0.675324675,-0.52,-0.068181818,stable_node,black
0.55,0.24,0.77,0.01,0.25,0,4,0.270574213,0.287828898,0.049219546,-0.419663615,saddle_node,purple
0.55,0.24,0.77,0.01,0.26,0,1,0,0,0.31,0.51,unstable_node,gold
0.55,0.24,0.77,0.01,0.26,0,2,0.563636364,0,-0.31,-0.25419697,stable_node,black
0.55,0.24,0.77,0.01,0.26,0,3,0,0.662337662,-0.51,-0.060909091,stable_node,black
0.55,0.24,0.77,0.01,0.26,0,4,0.241637287,0.316249093,0.046162052,-0.422574361,saddle_node,purple
0.55,0.24,0.77,0.01,0.27,0,1,0,0,0.31,0.5,unstable_node,gold
0.55,0.24,0.77,0.01,0.27,0,2,0.563636364,0,-0.31,-0.277113636,stable_node,black
0.55,0.24,0.77,0.01,0.27,0,3,0,0.649350649,-0.5,-0.053636364,stable_node,black
0.55,0.24,0.77,0.01,0.27,0,4,0.212718516,0.344651457,0.042459789,-0.424836595,saddle_node,purple
0.55,0.24,0.77,0.01,0.28,0,1,0,0,0.31,0.49,unstable_node,gold
0.55,0.24,0.77,0.01,0.28,0,2,0.563636364,0,-0.31,-0.300030303,stable_node,black
0.55,0.24,0.77,0.01,0.28,0,3,0,0.636363636,-0.49,-0.046363636,stable_node,black
0.55,0.24,0.77,0.01,0.28,0,4,0.183817867,0.373036023,0.038179597,-0.426517162,saddle_node,purple
0.55,0.24,0.77,0.01,0.29,0,1,0,0,0.31,0.48,unstable_node,gold
0.55,0.24,0.77,0.01,0.29,0,2,0.563636364,0,-0.32294697,-0.31,stable_node,black
0.55,0.24,0.77,0.01,0.29,0,3,0,0.623376623,-0.48,-0.039090909,stable_node,black
0.55,0.24,0.77,0.01,0.29,0,4,0.154935305,0.401402825,0.033374955,-0.427669548,saddle_node,purple
0.55,0.24,0.77,0.01,0.3,0,1,0,0,0.31,0.47,unstable_node,gold
0.55,0.24,0.77,0.01,0.3,0,2,0.563636364,0,-0.345863636,-0.31,stable_node,black
0.55,0.24,0.77,0.01,0.3,0,3,0,0.61038961,-0.47,-0.031818182,stable_node,black
0.55,0.24,0.77,0.01,0.3,0,4,0.126070797,0.429751896,0.028088624,-0.428336523,saddle_node,purple
0.55,0.24,0.77,0.01,0.31,0,1,0,0,0.31,0.46,unstable_node,gold
0.55,0.24,0.77,0.01,0.31,0,2,0.563636364,0,-0.368780303,-0.31,stable_node,black
0.55,0.24,0.77,0.01,0.31,0,3,0,0.597402597,-0.46,-0.024545455,stable_node,black
0.55,0.24,0.77,0.01,0.31,0,4,0.097224308,0.458083269,0.022354575,-0.428552061,saddle_node,purple
